Sensor,Pressao,Wavelet,Status_IA,Target,Status_Sistema
ESP_04,6.218277,-0.8615,,0,NORMAL
ESP_01,6.035724,-0.7324,,0,NORMAL
ESP_04,6.210705,-0.8561,,0,NORMAL
ESP_01,6.030313,-0.7285,,0,NORMAL
ESP_04,6.20119,-0.8494,,0,NORMAL
ESP_01,6.067801,-0.755,,0,NORMAL
ESP_04,6.191674,-0.8426,,0,NORMAL
ESP_01,6.05678,-0.7473,,0,NORMAL
ESP_04,6.180931,-0.835,,0,NORMAL
ESP_01,6.051271,-0.7434,,0,NORMAL
ESP_04,6.179908,-0.8343,,0,NORMAL
ESP_01,6.044678,-0.7387,,0,NORMAL
ESP_04,6.219301,-0.8622,,0,NORMAL
ESP_01,6.0372,-0.7334,,0,NORMAL
ESP_04,6.211831,-0.8569,,0,NORMAL
ESP_01,6.029034,-0.7276,,0,NORMAL
ESP_04,6.200781,-0.8491,,0,NORMAL
ESP_01,6.06603,-0.7538,,0,NORMAL
ESP_04,6.180111,-0.8345,,0,NORMAL
ESP_01,6.058453,-0.7484,,0,NORMAL
ESP_04,6.183591,-0.8369,,0,NORMAL
ESP_01,6.052058,-0.7439,,0,NORMAL
ESP_04,6.229737,-0.8696,,0,NORMAL
ESP_01,6.043694,-0.738,,0,NORMAL
ESP_04,6.219505,-0.8623,,0,NORMAL
ESP_01,6.034937,-0.7318,,0,NORMAL
ESP_04,6.212343,-0.8573,,0,NORMAL
ESP_01,6.031199,-0.7292,,0,NORMAL
ESP_04,6.202929,-0.8506,,0,NORMAL
ESP_01,6.06849,-0.7555,,0,NORMAL
ESP_04,6.194949,-0.845,,0,NORMAL
ESP_01,6.059043,-0.7489,,0,NORMAL
ESP_04,6.18574,-0.8384,,0,NORMAL
ESP_01,6.051369,-0.7434,,0,NORMAL
ESP_04,6.182159,-0.8359,,0,NORMAL
ESP_01,6.045662,-0.7394,,0,NORMAL
ESP_04,6.221859,-0.864,,0,NORMAL
ESP_01,6.038085,-0.734,,0,NORMAL
ESP_04,6.213673,-0.8582,,0,NORMAL
ESP_01,6.030214,-0.7285,,0,NORMAL
ESP_04,6.20518,-0.8522,,0,NORMAL
ESP_01,6.066522,-0.7541,,0,NORMAL
ESP_04,6.196074,-0.8458,,0,NORMAL
ESP_01,6.060717,-0.75,,0,NORMAL
ESP_04,6.187275,-0.8395,,0,NORMAL
ESP_01,6.053533,-0.745,,0,NORMAL
ESP_04,6.182056,-0.8358,,0,NORMAL
ESP_01,6.04458,-0.7386,,0,NORMAL
ESP_04,6.223291,-0.865,,0,NORMAL
ESP_01,6.038283,-0.7342,,0,NORMAL
ESP_04,6.214389,-0.8587,,0,NORMAL
ESP_01,6.031002,-0.729,,0,NORMAL
ESP_04,6.205794,-0.8526,,0,NORMAL
ESP_01,6.066916,-0.7544,,0,NORMAL
ESP_04,6.197609,-0.8468,,0,NORMAL
ESP_01,6.060717,-0.75,,0,NORMAL
ESP_04,6.188911,-0.8407,,0,NORMAL
ESP_01,6.05314,-0.7447,,0,NORMAL
ESP_04,6.180829,-0.835,,0,NORMAL
ESP_01,6.048614,-0.7415,,0,NORMAL
ESP_04,6.225644,-0.8667,,0,NORMAL
ESP_01,6.03966,-0.7352,,0,NORMAL
ESP_04,6.215719,-0.8596,,0,NORMAL
ESP_01,6.033165,-0.7306,,0,NORMAL
ESP_04,6.208455,-0.8545,,0,NORMAL
ESP_01,6.027952,-0.7269,,0,NORMAL
